filename,diff,gamma,#candidates,level,partisan,type,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,[],0.864152873,3,FEDERAL,NO,R,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John",,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John","Crafts, Dale John","Crafts, Dale John"
Maine_11062018_CongressionalDistrict2.csv,[],0.843787158,4,FEDERAL,YES,R,"DEM Golden, Jared F.","DEM Golden, Jared F.","REP Poliquin, Bruce",,"DEM Golden, Jared F.","REP Poliquin, Bruce","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
Maine_11082022_CongressionalDistrict2.csv,[],0.954574129,3,FEDERAL,YES,R,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest",,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest"
Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,[],0.884719886,12,LOCAL,NO,R,Jamal Osman,Jamal Osman,Jamal Osman,,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman
Minneapolis_11022021_CityCouncilWard1.csv,['Approval'],0.825439902,4,LOCAL,NO,R,Elliott Payne,Elliott Payne,Elliott Payne,,Elliott Payne,Elliott Payne,Kevin Reich,Elliott Payne,Elliott Payne
Minneapolis_11022021_CityCouncilWard10.csv,[],0.896078247,6,LOCAL,NO,R,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai
Minneapolis_11022021_CityCouncilWard11.csv,[],0.950591406,5,LOCAL,NO,R,Emily Koski,Emily Koski,Emily Koski,,Emily Koski,Emily Koski,Emily Koski,Emily Koski,Emily Koski
Minneapolis_11022021_CityCouncilWard12.csv,[],0.97845953,3,LOCAL,NO,R,Andrew Johnson,Andrew Johnson,Andrew Johnson,,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson
Minneapolis_11022021_CityCouncilWard13.csv,[],0.952725284,5,LOCAL,NO,R,Linea Palmisano,Linea Palmisano,Linea Palmisano,,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano
Minneapolis_11022021_CityCouncilWard2.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.895599202,5,LOCAL,NO,R,Robin Wonsley Worlobah,-1,Robin Wonsley Worlobah,,Cam Gordon,Yusra Arab,Cam Gordon,Yusra Arab,Cam Gordon
Minneapolis_11022021_CityCouncilWard3.csv,[],0.921297687,4,LOCAL,NO,R,Michael Rainville,Michael Rainville,Michael Rainville,,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville
Minneapolis_11022021_CityCouncilWard4.csv,[],0.914952368,3,LOCAL,NO,R,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw
