filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance
SanFrancisco_11082016_BoardofSupervisorsDistrict5.csv,NO,LOCAL,B,2,3,1,1,74.67638527,71.47558568,,,,0.862858734,,,,,
SanFrancisco_11082016_BoardofSupervisorsDistrict7.csv,NO,LOCAL,B,5,3,0.558771111,0.636566805,60.16860449,52.40317972,51.18956689,44.13986251,31.22294832,0.371738907,4.420830905,0.274746435,0.999939143,0.479212061,0.556556557
SanFrancisco_11082016_BoardofSupervisorsDistrict9.csv,NO,LOCAL,B,4,3,0.80991221,0.810939543,82.41080879,64.99906606,60.5410622,20.07035676,,0.36804458,6.256242087,0.36804458,0.999938662,0.178917159,1.066066066
SanFrancisco_11082016_BoardofSupervisorsDistrict11.csv,NO,LOCAL,B,5,3,0.582489203,0.527640361,59.74087161,57.75029446,44.22065175,41.82175108,35.90498626,0.652621328,4.592042922,0.680003188,0.999903633,0.688010387,1.177177177
SanFrancisco_11082022_BoardofSupervisorsD4.csv,NO,LOCAL,B,2,3,1,1,70.12391345,69.28796005,,,,0.882339558,,,,,
SanFrancisco_11082022_BoardofSupervisorsD6.csv,NO,LOCAL,B,4,4,0.714662253,0.660966041,80.10297904,75.80605615,48.55338973,42.94471006,,0.483680756,5.971839227,0.473481632,0.99987404,0.451784014,0.588588589
SanFrancisco_11082022_BoardofSupervisorsD8.csv,NO,LOCAL,B,2,3,1,1,89.64717856,50.31098044,,,,0.933517632,,,,,
SanFrancisco_11082022_BoardofSupervisorsD10.csv,NO,LOCAL,B,2,3,1,1,87.73024361,59.81580511,,,,0.833213157,,,,,
Berkeley_11032020_MayorBerkeleyRCV.csv,NO,LOCAL,E,4,5,0.783319622,0.766162759,87.79308926,60.78259975,52.50411353,36.77498972,,0.497088394,6.894188326,0.497088394,0.999970991,0.314265995,0.198198198
Berkeley_11062012_Mayor.csv,NO,LOCAL,E,7,3,0.651337241,0.735586256,72.46169214,51.52760239,37.95163692,20.51567182,20.26499802,0.36914008,1.656104632,0.403415591,0.9999617,0.192726124,0.168168168
Berkeley_11082016_Mayor.csv,NO,LOCAL,E,8,3,,0.635330038,72.40937231,56.97609689,45.12407011,17.52838177,13.62325197,0.082345781,4.716230897,0.082345781,0.999963252,0.352360094,1.135135135
Corvallis_11082022_Mayor.csv,NO,LOCAL,E,3,3,0.788546469,0.788546469,92.3125455,90.90026693,89.49769473,,,0.653834421,4.724487618,0.42908953,0.999887044,0.641703512,0.774774775
ElkRidge_11022021_Mayor.csv,NO,LOCAL,E,3,3,0.894576012,0.894576012,89.07563025,89.07563025,81.97097021,,,0.474407659,3.617231061,0.474407659,0.998316498,0.644473133,0.768768769
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,NO,LOCAL,E,10,0,,0.341229193,73.51685873,62.39863423,55.00782473,47.68103571,47.31825295,0.785614738,3.535195012,0.671086207,0.999753998,0.49905648,2.063063063
Minneapolis_11022021_Mayor.csv,NO,LOCAL,E,18,3,,0.725366599,55.95385364,47.84349156,41.35798179,19.68378623,12.35249149,0.244569596,3.081378484,0.950964652,0.999985008,0.175310059,0.282791773
Minneapolis_11052013_Mayor.csv,NO,LOCAL,E,35,3,,0.514412054,62.51480259,51.45758271,42.02927763,22.49615763,18.82133589,0.036211293,22.04011029,0.221341304,0.999958946,0.19933348,1.055055055
Minneapolis_11062009_Mayor.csv,NO,LOCAL,E,11,3,,0.813208761,82.04877832,21.61514392,21.45092208,21.32442689,7.756152771,0.334072329,9.372958174,0.504953742,0.999964554,0.096185742,4.884884885
Minneapolis_11072017_Mayor.csv,NO,LOCAL,E,18,3,,0.586470053,52.44314645,47.78187389,45.01077225,42.22243501,42.08550773,0.140258756,2.037794182,0.930769063,0.999963899,0.080091451,0.12811739
Minnetonka_11022021_Mayor.csv,NO,LOCAL,E,2,3,1,1,73.07971672,50.69911022,,,,0.931132636,,,,,
Oakland_11022010_CityCouncilDistrict2.csv,NO,LOCAL,E,2,3,1,1,83.26587681,67.87107219,,,,0.87346919,2.917913068,0.87346919,0.999888716,,
Oakland_11022010_Mayor.csv,NO,LOCAL,E,10,3,,0.42566382,62.54699798,58.14464515,54.85353341,38.62690707,14.09772237,0.250249489,7.3008572,0.257268465,0.999978611,0.34143262,1.846846847
Oakland_11042014_Mayor.csv,NO,LOCAL,E,16,3,,0.554597533,56.39626958,41.845074,35.16139754,33.13879602,32.64805365,0.105439826,9.545570669,0.105441234,0.999970606,0.000451382,5.720720721
Oakland_11062018_Mayor.csv,NO,LOCAL,E,10,3,,0.634331405,70.32668162,56.66585012,54.5145628,13.1376133,10.3155012,0.735632181,2.063100589,0.598724725,0.999987855,0.575940509,0.45045045
Oakland_11082022_Mayor.csv,NO,LOCAL,E,10,5,,0.396100536,63.55404685,63.09699269,44.79993101,40.61510239,39.52068111,0.261808139,6.010988539,0.272597425,0.999967373,0.372569657,0.90990991
SanFrancisco_06052018_Mayor.csv,NO,LOCAL,E,8,3,,0.623461603,65.88755678,62.63494539,58.21724914,30.63827079,13.96510712,0.504886807,4.125243831,0.504886807,0.999989193,0.029546394,1.023023023
SanFrancisco_11032015_Mayor.csv,NO,LOCAL,E,6,3,0.709681324,0.66611405,62.30362359,40.63314123,37.28007158,30.05868267,16.49430278,0.816740823,3.328554031,0.857355766,0.999991083,0.610761323,0.435435435
SanFrancisco_11052019_Mayor.csv,NO,LOCAL,E,7,6,0.644120083,0.683940214,85.58993713,42.6054283,37.98253562,34.48854699,34.3701538,0.048523307,6.202020883,0.040226226,0.999990801,0.65435085,0.072072072
SanFrancisco_11062007_Mayor.csv,NO,LOCAL,E,12,3,,0.710926541,80.9813365,18.23646879,14.81471245,13.6497122,12.79358213,0.723005628,7.54026642,0.587185307,0.999989614,0.239482108,0.836836837
