Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
148,148,Minneapolis_11052013_PRBoardDistrict2.csv,0,1.0,B,2,3,1.0,1.0,85.1445663,59.75407112,,,,0.858325065066166
149,149,Minneapolis_11052013_PRBoardDistrict6.csv,0,1.0,B,2,3,1.0,1.0,82.65090139,63.3676374,,,,0.8816111571973586
150,150,Minneapolis_11052013_Ward5CityCouncil.csv,0,1.0,R,4,3,0.72766323,0.73024055,78.35051546,63.1443299,58.04696449,23.59679267,,0.5740870965704137
151,151,Minneapolis_11052013_Ward9CityCouncil.csv,0,1.0,R,6,3,0.677791116,0.609843938,73.54141657,63.21728691,30.32412965,26.53061224,24.75390156,0.2804867689932011
152,152,Minneapolis_11052013_Ward13CityCouncil.csv,0,1.0,R,5,3,0.817503587,0.531516021,79.79913917,77.88617886,60.81300813,16.65231946,8.225729316,0.8114689872596572
153,153,Minneapolis_11062009_Mayor.csv,0,1.0,E,11,3,,0.813208761,82.04877832,21.61514392,21.45092208,21.32442689,7.756152771,0.3340723293192089
154,154,Minneapolis_11062009_PRBoardDistrict1.csv,0,1.0,B,3,3,0.937403267,0.903009458,85.03869304,39.6044712,31.88306105,,,0.8401321447047836
155,155,Minneapolis_11062009_PRBoardDistrict2.csv,0,1.0,B,2,3,1.0,1.0,73.23332017,61.64626925,,,,0.895182524849552
156,156,Minneapolis_11062009_PRBoardDistrict3.csv,0,1.0,B,2,3,1.0,1.0,83.60655738,42.26101767,,,,0.947780200163307
158,158,Minneapolis_11062009_PRBoardDistrict5.csv,0,1.0,B,5,3,0.762794268,0.830348004,61.82190379,55.4247697,46.43039918,15.77533265,8.303480041,0.4420511254652975
159,159,Minneapolis_11062009_PRBoardDistrict6.csv,0,1.0,B,4,3,0.851339983,0.844610023,63.9706766,63.38180507,31.21019108,15.97163802,,0.1665148547435459
160,160,Minneapolis_11062009_Ward1CityCouncil.csv,0,1.0,R,5,3,0.812247984,0.783014113,70.3125,47.25302419,47.02620968,17.3891129,16.6078629,0.4550993065490915
161,161,Minneapolis_11062009_Ward2CityCouncil.csv,0,1.0,R,2,3,1.0,1.0,89.01345291,27.31689088,,,,0.937428134593548
162,162,Minneapolis_11062009_Ward3CityCouncil.csv,0,1.0,R,4,3,0.901781635,0.883965281,80.72179077,47.73869347,18.2731841,15.21242577,,0.2561784867690691
163,163,Minneapolis_11062009_Ward4CityCouncil.csv,0,1.0,R,4,3,0.764563107,0.743021845,66.80825243,55.82524272,40.74635922,31.06796117,,0.7040646421362765
164,164,Minneapolis_11062009_Ward5CityCouncil.csv,0,1.0,R,5,3,0.744110855,0.707621247,64.01847575,58.66050808,48.54503464,23.41801386,11.40877598,0.1974198648246899
165,165,Minneapolis_11062009_Ward6CityCouncil.csv,0,1.0,R,6,3,0.635373444,0.622925311,68.10165975,38.0186722,33.14315353,31.69087137,22.25103734,0.2352950160738154
166,166,Minneapolis_11062009_Ward7CityCouncil.csv,0,1.0,R,3,3,0.932997942,0.885204665,77.38394695,41.1845415,31.35147496,,,0.9069730478935558
